,district,meter,built_year,price_per_meter,room,elevator,parking,storage,floor_en,total_floor
350,59,115,1395,45217000.0,2,1.0,1.0,1.0,3,3
351,59,56,1379,46429000.0,2,0.0,1.0,1.0,1,4
352,59,100,1390,52500000.0,2,1.0,1.0,0.0,1,5
353,59,66,1380,37121000.0,2,0.0,1.0,1.0,4,4
354,59,110,1392,46000000.0,3,1.0,1.0,1.0,1,5
355,59,57,1400,60000000.0,1,1.0,1.0,1.0,1,1
356,59,84,1394,48810000.0,2,1.0,1.0,1.0,2,5
357,59,78,1390,47821000.0,2,1.0,1.0,1.0,2,2
358,59,62,1380,37903000.0,1,0.0,1.0,1.0,4,4
359,59,100,1390,41000000.0,2,1.0,1.0,1.0,4,5
360,59,75,1380,44000000.0,2,1.0,1.0,1.0,1,1
361,59,100,1388,40000000.0,2,1.0,1.0,1.0,4,5
362,59,107,1394,42991000.0,2,1.0,1.0,1.0,2,2
363,59,68,1395,50000000.0,2,1.0,1.0,1.0,4,5
364,59,60,1382,53333000.0,2,1.0,1.0,1.0,3,3
365,59,74,1397,48514000.0,2,1.0,1.0,1.0,1,1
366,59,86,1384,44186000.0,2,1.0,1.0,1.0,5,5
367,59,40,1388,48750000.0,1,1.0,0.0,0.0,1,4
368,59,77,1375,38831000.0,2,0.0,1.0,1.0,3,3
369,59,116,1400,63000000.0,2,1.0,1.0,1.0,2,5
370,59,77,1382,36104000.0,2,0.0,1.0,1.0,1,1
371,59,96,1392,42500000.0,2,1.0,1.0,1.0,1,1
372,59,70,1395,50000000.0,2,1.0,1.0,1.0,1,5
373,59,55,1381,46909000.0,2,1.0,1.0,1.0,1,4
374,59,74,1385,41892000.0,2,1.0,1.0,1.0,1,1
375,59,60,1382,44167000.0,1,1.0,1.0,1.0,1,1
376,59,88,1392,33523000.0,1,1.0,0.0,1.0,0,4
377,59,99,1384,39899000.0,2,1.0,1.0,1.0,1,5
378,59,59,1382,44068000.0,1,1.0,1.0,1.0,0,0
379,59,58,1382,38793000.0,1,0.0,1.0,1.0,1,4
380,59,55,1393,38182000.0,1,0.0,1.0,1.0,3,3
381,59,110,1388,38182000.0,2,1.0,1.0,1.0,1,5
382,59,115,1387,36522000.0,2,1.0,1.0,1.0,1,1
383,59,103,1400,55000000.0,2,1.0,1.0,1.0,4,5
384,59,67,1387,47761000.0,2,1.0,1.0,1.0,2,2
385,59,103,1396,48058000.0,2,1.0,1.0,1.0,3,5
386,59,81,1382,34568000.0,2,0.0,1.0,1.0,4,4
387,59,124,1383,37097000.0,2,0.0,1.0,1.0,1,1
388,59,50,1400,53800000.0,1,1.0,1.0,1.0,6,18
389,59,120,1394,45000000.0,3,1.0,1.0,1.0,2,5
390,59,85,1400,47059000.0,2,1.0,1.0,1.0,3,3
391,59,56,1386,42500000.0,2,1.0,1.0,1.0,2,2
392,59,95,1392,41579000.0,2,1.0,1.0,1.0,1,5
393,59,50,1400,53800000.0,1,1.0,1.0,1.0,6,20
394,59,97,1387,44845000.0,2,1.0,1.0,1.0,2,4
395,59,96,1392,42708000.0,2,1.0,1.0,1.0,1,6
396,59,106,1390,45283000.0,2,1.0,0.0,1.0,1,5
397,59,75,1387,37333000.0,1,1.0,1.0,1.0,4,4
398,59,75,1396,47333000.0,2,1.0,1.0,1.0,3,3
399,59,95,1392,43158000.0,2,1.0,1.0,1.0,1,1
400,59,79,1395,44304000.0,2,1.0,1.0,1.0,2,2
401,59,106,1387,45283000.0,2,1.0,1.0,1.0,1,5
402,59,65,1395,50154000.0,1,1.0,1.0,1.0,5,5
403,59,60,1380,40000000.0,2,0.0,1.0,0.0,1,4
404,59,78,1392,55769000.0,2,1.0,1.0,1.0,2,5
405,59,120,1399,50000000.0,3,1.0,1.0,0.0,3,5
406,59,90,1391,50000000.0,2,1.0,1.0,1.0,6,6
407,59,65,1384,37692000.0,2,0.0,1.0,1.0,4,4
408,59,90,1394,33778000.0,1,1.0,0.0,1.0,0,0
409,59,106,1387,45755000.0,2,1.0,1.0,1.0,2,5
410,59,60,1385,44083000.0,1,1.0,1.0,1.0,1,1
411,59,110,1393,38636000.0,2,1.0,1.0,1.0,2,2
412,59,101,1397,45545000.0,2,1.0,1.0,1.0,4,5
413,59,110,1400,58364000.0,2,1.0,1.0,1.0,2,2
414,59,77,1391,48052000.0,2,1.0,1.0,1.0,2,2
415,59,72,1396,47917000.0,2,1.0,1.0,1.0,4,4
416,59,64,1388,51562000.0,1,1.0,1.0,1.0,5,5
417,59,102,1400,53922000.0,2,1.0,1.0,1.0,3,5
418,59,97,1395,48969000.0,2,1.0,1.0,1.0,4,5
